gene	type	organ
STK11	Child IF	GI tract
FANCF	Confirmed DD Gene	Bone Marrow/Immune 
FANCG	Confirmed DD Gene	Bone Marrow/Immune 
PTPRQ	Probable DD gene	Ear
KRT74	Probable DD gene	Skin
PTHLH	Confirmed DD Gene	Skeleton
ATP7A	Confirmed DD Gene	Brain/Cognition
ITCH	Probable DD gene	Bone Marrow/Immune 
FLVCR2	Confirmed DD Gene	Brain/Cognition
TPRN	Confirmed DD Gene	Ear
SLC52A3	Confirmed DD Gene	Brain/Cognition
GRXCR1	Confirmed DD Gene	Ear
PLEC	Confirmed DD Gene	Musculature
PSMB8	Confirmed DD Gene	Bone Marrow/Immune 
KBTBD13	Confirmed DD Gene	Musculature
JAM3	Probable DD gene	Brain/Cognition
SRY	Confirmed DD Gene	Genitalia
FLVCR1	Confirmed DD Gene	Brain/Cognition
COL11A1	Confirmed DD Gene	Skeleton
WDR11	Confirmed DD Gene	Genitalia
WDR11	Confirmed DD Gene	Endocrine
NR5A1	Both DD and IF	Genitalia
SPTLC2	Both DD and IF	Peripheral nerves
SLC24A1	Possible DD Gene	Eye
BMPER	Confirmed DD Gene	Skeleton
SCARF2	Confirmed DD Gene	Skeleton
TBC1D24	Probable DD gene	Brain/Cognition
FAM161A	Both DD and IF	Eye
KLF1	Confirmed DD Gene	Bone Marrow/Immune 
MED17	Probable DD gene	Brain/Cognition
MAP3K1	Confirmed DD Gene	Genitalia
ZNF513	Possible DD Gene	Eye
ABHD12	IF Gene: Adult No Rx	Brain/Cognition
WDR35	Confirmed DD Gene	Skeleton
PTPN14	Probable DD gene	Skeleton
PDE6G	Confirmed DD Gene	Eye
CBL	Confirmed DD Gene	Brain/Cognition
IMPG2	IF Gene: Adult No Rx	Eye
NFIX	Confirmed DD Gene	Skeleton
PVRL4	Confirmed DD Gene	Skin
HSD17B4	Confirmed DD Gene	Brain/Cognition
TWIST2	Probable DD gene	Skin
TBX4	Confirmed DD Gene	Skeleton
C12orf65	Confirmed DD Gene	Brain/Cognition
TMEM237	Confirmed DD Gene	Brain/Cognition
ELOVL4	Both DD and IF	Skin
ELOVL4	Both DD and IF	Brain/Cognition
KIF22	Confirmed DD Gene	Skeleton
SMOC2	Probable DD gene	Teeth & Dentitian
TSHZ1	Possible DD Gene	Ear
MIR184	Possible DD Gene	Eye
WDR19	Confirmed DD Gene	Kidney Renal Tract
WDR19	Confirmed DD Gene	Skeleton
POLR3A	Confirmed DD Gene	Brain/Cognition
POLR3B	Confirmed DD Gene	Brain/Cognition
NFU1	Confirmed DD Gene	Brain/Cognition
BOLA3	Probable DD gene	Brain/Cognition
CSTA	Probable DD gene	Skin
PSMC3IP	Child IF	Genitalia
ST3GAL3	Probable DD gene	Brain/Cognition
PXDN	Probable DD gene	Eye
KIF1A	Confirmed DD Gene	Peripheral nerves
KIF1A	Confirmed DD Gene	Brain/Cognition
CDON	Confirmed DD Gene	Brain/Cognition
MAK	IF Gene: Adult No Rx	Eye
IGFBP7	Probable DD gene	Eye
DOCK6	Probable DD gene	Skin
SPECC1L	Possible DD Gene	Face
IL11	Possible DD Gene	Skeleton
NOP56	IF Gene: Adult No Rx	Brain/Cognition
CCDC8	Probable DD gene	Brain/Cognition
CUL7	Confirmed DD Gene	Skeleton
OBSL1	Confirmed DD Gene	Skeleton
BLOC1S6	Probable DD gene	Skin
FYCO1	Confirmed DD Gene	Eye
NDE1	Confirmed DD Gene	Brain/Cognition
CLN6	Both DD and IF	Brain/Cognition
IMPAD1	Confirmed DD Gene	Skeleton
FAM20A	Possible DD Gene	Teeth & Dentitian
PRPF6	IF Gene: Adult No Rx	Eye
BANF1	Probable DD gene	Skin
LIPN	Probable DD gene	Skin
ILDR1	Confirmed DD Gene	Ear
FAF1	Possible DD Gene	Face
DHDDS	IF Gene: Adult No Rx	Eye
DHFR	Confirmed DD Gene	Brain/Cognition
IHH	Confirmed DD Gene	Skeleton
ATL1	IF Gene: Adult No Rx	Peripheral nerves
ATL1	IF Gene: Adult No Rx	Peripheral nerves
NEK1	Confirmed DD Gene	Skeleton
ANKRD26	Probable DD gene	Bone Marrow/Immune 
PRRX1	Possible DD Gene	Face
THRA	Confirmed DD Gene	Endocrine
KCNMA1	Possible DD Gene	Brain/Cognition
TRPC6	IF Gene: Adult Rx	Kidney Renal Tract
TNFRSF13B	Possible DD Gene	Bone Marrow/Immune 
SEPT9	IF Gene: Adult No Rx	Peripheral nerves
DNM2	IF Gene: Adult No Rx	Musculature
SECISBP2	Probable DD gene	Endocrine
SLC4A1	Both DD and IF	Kidney Renal Tract
CEL	IF Gene: Adult Rx	Endocrine/Metabolic
MMACHC	Confirmed DD Gene	Endocrine/Metabolic
SPTBN2	IF Gene: Adult No Rx	Brain/Cognition
YARS	IF Gene: Adult No Rx	Peripheral nerves
FLG	Confirmed DD Gene	Skin
MYH11	IF Gene: Adult Rx	Heart/Cardiovasculature/Lymphatic
ANG	IF Gene: Adult No Rx	Spinal cord/Peripheral nerves
FGF10	Confirmed DD Gene	Eye
SLC2A10	Confirmed DD Gene	Heart/Cardiovasculature
ACVR1	Probable DD gene	Skeleton
MPV17	Confirmed DD Gene	Endocrine/Metabolic
ZNF750	Probable DD gene	Skin
PLA2G6	Both DD and IF	Brain/Cognition
SLC4A11	Both DD and IF	Eye
DFNB59	Confirmed DD Gene	Ear
SLC6A5	Confirmed DD Gene	Brain/Cognition
RNASEH2B	Confirmed DD Gene	Brain/Cognition
RNASEH2C	Confirmed DD Gene	Brain/Cognition
RNASEH2A	Confirmed DD Gene	Brain/Cognition
TREX1	Confirmed DD Gene	Brain/Cognition
LMNB1	IF Gene: Adult No Rx	Brain/Cognition
ATP13A2	Both DD and IF	Brain/Cognition
SEC23A	Possible DD Gene	Skeleton
RSPO4	Confirmed DD Gene	Skin
DMP1	Confirmed DD Gene	Endocrine/Metabolic
DMP1	Confirmed DD Gene	Skeleton
PRSS1	IF Gene: Adult Rx	Endocrine
CFL2	Probable DD gene	Musculature
PLCE1	Confirmed DD Gene	Kidney Renal Tract
SHANK3	Probable DD gene	Brain/Cognition
